OrderID,OrderDate,CustomerID,ProductID,Region,Category,SubCategory,SalesAmount,Cost,Profit
1,2023-01-01,1002,238,East,Furniture,Table,8209.97,1367.91,6842.0599999999995
2,2023-01-02,1030,234,East,Electronics,Laptop,8853.64,7568.3,1285.3399999999992
3,2023-01-03,1039,202,West,Furniture,Sofa,2357.99,6807.3,-4449.31
4,2023-01-04,1035,249,North,Furniture,Table,2199.24,5368.73,-3169.49
5,2023-01-05,1023,236,South,Electronics,Mobile,6148.71,3725.25,2423.46
6,2023-01-06,1094,243,West,Electronics,Mobile,4169.18,3323.54,845.6400000000003
7,2023-01-07,1005,243,West,Furniture,Chair,8414.63,5225.24,3189.3899999999994
8,2023-01-08,1065,229,West,Clothing,Jackets,9010.23,4386.18,4624.049999999999
9,2023-01-09,1083,237,South,Furniture,Table,3598.87,545.07,3053.7999999999997
10,2023-01-10,1091,233,West,Furniture,Chair,2445.02,4124.4,-1679.3799999999997
11,2023-01-11,1074,211,South,Furniture,Sofa,7827.2,6460.91,1366.29
12,2023-01-12,1003,218,West,Furniture,Table,2820.58,3700.96,-880.3800000000001
13,2023-01-13,1078,236,South,Electronics,Accessories,8243.88,463.05,7780.829999999999
14,2023-01-14,1005,243,East,Furniture,Chair,4295.01,6300.91,-2005.8999999999996
15,2023-01-15,1093,248,East,Clothing,Shirts,6708.74,1650.84,5057.9
16,2023-01-16,1050,216,East,Electronics,Mobile,1045.8,2106.04,-1060.24
17,2023-01-17,1061,209,East,Clothing,Jackets,6276.21,1359.42,4916.79
18,2023-01-18,1056,248,East,Clothing,Jackets,4572.5,2675.21,1897.29
19,2023-01-19,1065,246,West,Clothing,Shirts,5907.42,6066.17,-158.75
20,2023-01-20,1078,211,West,Clothing,Jackets,1763.34,4179.12,-2415.7799999999997
21,2023-01-21,1074,215,West,Electronics,Mobile,7395.05,1678.81,5716.24
22,2023-01-22,1007,223,South,Electronics,Mobile,8641.69,7028.75,1612.9400000000005
23,2023-01-23,1025,218,South,Clothing,Pants,2245.72,7042.68,-4796.960000000001
24,2023-01-24,1050,207,South,Clothing,Jackets,1047.57,6971.1,-5923.530000000001
25,2023-01-25,1044,230,South,Electronics,Mobile,334.02,1948.43,-1614.41
26,2023-01-26,1043,220,East,Electronics,Mobile,6455.52,3637.35,2818.1700000000005
27,2023-01-27,1004,216,East,Electronics,Accessories,6110.23,7880.67,-1770.4400000000005
28,2023-01-28,1069,222,East,Furniture,Table,5512.3,6187.5,-675.1999999999998
29,2023-01-29,1025,236,North,Furniture,Table,2396.28,265.98,2130.3
30,2023-01-30,1067,215,West,Furniture,Chair,3969.97,568.38,3401.5899999999997
31,2023-01-31,1018,205,South,Clothing,Jackets,5985.32,3738.25,2247.0699999999997
32,2023-02-01,1083,207,South,Furniture,Table,5017.99,7278.3,-2260.3100000000004
33,2023-02-02,1096,224,East,Clothing,Jackets,9879.08,4332.68,5546.4
34,2023-02-03,1019,217,South,Clothing,Jackets,1450.75,4007.61,-2556.86
35,2023-02-04,1011,224,South,Furniture,Chair,6981.93,888.52,6093.41
36,2023-02-05,1046,211,West,Clothing,Pants,4102.76,5271.4,-1168.6399999999994
37,2023-02-06,1000,214,East,Furniture,Chair,4339.18,6585.72,-2246.54
